city_key,state_key
S99,AP
S61,AP
S57,AP
SEL,AP
S34,AP
S56,AP
S54,AP
S64,AP
S53,AP
S63,AP
S51,AP
P33,AP
E45,AR
E41,AS
E40,AS
E49,AS
E51,AS
E50,AS
E56,AS
E52,AS
EAF,BR
E65,BR
E66,BR
E60,BR
EAH,BR
N70,CH
W56,CG
W62,CG
WCW,CG
W54,CG
N10,DL
W60,GA
W30,GJ
W36,GJ
W73,GJ
W33,GJ
W49,GJ
W64,GJ
W34,GJ
W44,GJ
W68,GJ
W47,GJ
W39,GJ
W40,GJ
W77,GJ
H99,GJ
WAL,GJ
W67,GJ
W23,GJ
W31,GJ
W32,GJ
W37,GJ
W99,GJ
N24,HR
NBE,HR
N74,HR
N22,HR
N20,HR
N23,HR
N15,HR
N21,HR
N77,HR
N18,HR
N26,HR
N69,HR
N13,HR
N12,HR
N27,HR
N14,HR
N25,HR
N83,HP
N82,HP
N80,HP
N05,HP
N81,HP
N50,JK
E64,JH
EBB,JH
E62,JH
E61,JH
E63,JH
S80,KA
S88,KA
S86,KA
SBI,KA
SCR,KA
S85,KA
SBU,KA
S90,KA
S81,KA
SEQ,KA
SCM,KA
SCQ,KA
S82,KA
S83,KA
S84,KA
SCS,KA
S87,KA
S70,KL
S72,KL
S75,KL
S29,KL
S74,KL
S79,KL
S76,KL
S73,KL
S71,KL
SIK,KL
WAF,MP
W50,MP
W59,MP
W66,MP
W53,MP
W51,MP
W52,MP
WCZ,MP
W57,MP
WAC,MP
SGT,MP
W55,MP
WCY,MP
WDE,MP
W81,MP
W27,MH
W38,MH
W24,MH
W43,MH
W28,MH
W95,MH
W21,MH
WBW,MH
WAZ,MH
W10,MH
WBO,MH
W20,MH
W41,MH
W25,MH
W70,MH
W22,MH
WBX,MH
W46,MH
W45,MH
W26,MH
WBN,MH
E46,MN
E42,MZ
EAM,OR
E78,OR
E70,OR
E73,OR
S20,PY
N63,PB
N66,PB
N79,PB
N67,PB
N61,PB
N60,PB
N71,PB
N72,PB
N65,PB
N62,PB
N76,PB
NDR,PB
N46,RJ
N45,RJ
NFP,RJ
NBT,RJ
N49,RJ
N44,RJ
N57,RJ
NAP,RJ
N40,RJ
N41,RJ
N43,RJ
NIG,RJ
NBX,RJ
N78,RJ
N58,RJ
N42,RJ
S10,TN
S43,TN
S44,TN
S89,TN
S32,TN
S41,TN
SDJ,TN
S26,TN
S40,TN
S48,TN
S42,TN
S39,TN
S45,TN
S50,TS
S58,TS
SCA,TS
S60,TS
S59,TS
S55,TS
N33,UP
N29,UP
N36,UP
NBN,UP
N32,UP
NDF,UP
N96,UP
N90,UP
N39,UP
N95,UP
N47,UP
N31,UP
N30,UP
NDJ,UP
N93,UP
N34,UP
N28,UP
N54,UP
N35,UP
N52,UP
N38,UP
N37,UK
N91,UK
N85,UK
N48,UK
E12,WB
EDZ,WB
E15,WB
E16,WB
E76,WB
E13,WB
E10,WB
E11,WB
